[2020/08/25 13:18:08]: loading data
[2020/08/25 13:18:08]: loading embed model
[2020/08/25 13:18:08]: initializing network model
[2020/08/25 13:18:08]: building dataset and dataloader
[2020/08/25 13:18:08]: length of train set : 1315
[2020/08/25 13:18:08]: length of test set : 685
[2020/08/25 13:18:08]: start training
[2020/08/25 13:18:51]: done with epoch 01, epoch_error = 1.10, min_error = 1.10
[2020/08/25 13:19:26]: done with epoch 02, epoch_error = 0.83, min_error = 0.83
[2020/08/25 13:20:02]: done with epoch 03, epoch_error = 0.81, min_error = 0.81
[2020/08/25 13:20:40]: done with epoch 04, epoch_error = 0.76, min_error = 0.76
[2020/08/25 13:21:25]: done with epoch 05, epoch_error = 0.67, min_error = 0.67
[2020/08/25 13:22:06]: done with epoch 06, epoch_error = 0.70, min_error = 0.67
[2020/08/25 13:22:54]: done with epoch 07, epoch_error = 0.55, min_error = 0.55
[2020/08/25 13:23:35]: done with epoch 08, epoch_error = 0.56, min_error = 0.55
[2020/08/25 13:24:18]: done with epoch 09, epoch_error = 0.62, min_error = 0.55
[2020/08/25 13:24:53]: done with epoch 10, epoch_error = 0.62, min_error = 0.55
[2020/08/25 13:25:46]: done with epoch 11, epoch_error = 0.68, min_error = 0.55
[2020/08/25 13:26:35]: done with epoch 12, epoch_error = 0.53, min_error = 0.53
[2020/08/25 13:27:20]: done with epoch 13, epoch_error = 0.53, min_error = 0.53
[2020/08/25 13:28:03]: done with epoch 14, epoch_error = 0.57, min_error = 0.53
[2020/08/25 13:28:48]: done with epoch 15, epoch_error = 0.52, min_error = 0.52
[2020/08/25 13:29:42]: done with epoch 16, epoch_error = 0.63, min_error = 0.52
[2020/08/25 13:30:28]: done with epoch 17, epoch_error = 0.56, min_error = 0.52
[2020/08/25 13:31:12]: done with epoch 18, epoch_error = 0.54, min_error = 0.52
[2020/08/25 13:31:57]: done with epoch 19, epoch_error = 0.54, min_error = 0.52
[2020/08/25 13:32:35]: done with epoch 20, epoch_error = 0.45, min_error = 0.45
[2020/08/25 13:33:16]: done with epoch 21, epoch_error = 0.54, min_error = 0.45
